municipio,marca,grupo,longitude,latitude
MTV,John Deere,Iguacu Maquinas,-51.17297211,-17.32702029
JTI,John Deere,Iguacu Maquinas,-51.68903972,-17.81477935
STN,John Deere,Iguacu Maquinas,-54.22437147,-13.19109325
JTI ,John Deere,Iguacu Maquinas,-51.75491764,-17.86459045
JALES,John Deere,ITAETE,-50.5472056,-20.26896126
JTI,Jacto,JactoJatai,-51.66910312,-17.80836449
GOIATUBA,John Deere,Maqnelson,-49.34033506,-17.85315475
QUIRINOPOLIS,John Deere,Maqnelson,-50.44389872,-18.44921783
MARACAJU,New Holland,MATRA MAQS,-55.15475809,-21.63147689
DOURADOS,New Holland,MATRA MAQS,-54.9378437,-22.2416434
DIAMANTINO,Case,Maxxicase,-56.39150805,-14.37818798
TANGARA DA SERRA,Case,Maxxicase,-57.52345629,-14.6336707
CHS,Massey Ferguson,Mosena,-52.64028704,-18.77422312
SON,Massey Ferguson,Mosena,-54.5293028,-19.27476609
TRL,Massey Ferguson,Mosena,-54.58433583,-20.20206832
CHC,New Holland,MS Agr cola,-52.61878011,-18.28029666
CAMPO GRANDE,New Holland,MS Equipamentos,-54.58702604,-20.42206912
SON,New Holland,MS Equipamentos,-54.56481912,-19.39930941
BONITO,New Holland,MS Equipamentos,-56.48781232,-21.12920538
CHS,New Holland,MS M quinas,-52.62581075,-18.7930395
TRL,New Holland,Ottoboni M quinas,-51.68155039,-20.80077754
NOVA MUTUM,Massey Ferguson,Pampa,-56.10889229,-13.60736612
JTI,New Holland,Para so M quinas,-51.72529746,-17.90353772
TANGARA DA SERRA,New Holland,Parecis,-57.49840499,-14.56947511
DIAMANTINO,New Holland,Parecis,-56.34773205,-14.35567909
CVD,Jacto,Pinesso M quinas,-55.17466063,-15.5527113
PVA,Jacto,Pinesso M quinas,-54.28834494,-15.50985732
PVA,Agrale,Pinesso M quinas,-54.29393311,-15.53017983
CHC,Case,Planalto,-52.64912625,-18.31686265
RVD,Case,Planalto,-50.92353444,-17.6791138
JTI,Case,Planalto,-51.71534916,-17.89329691
BARRA DO GARCAS,John Deere,Primavera Maquinas,-52.3110505,-15.87944919
AGUA BOA,John Deere,Primavera Maquinas,-52.15738344,-14.03335353
CANARANA,John Deere,Primavera Maquinas,-52.27871262,-13.40610567
GAUCHA DO NORTE,John Deere,Primavera Maquinas,-53.26192675,-13.18560026
QUERENCIA,John Deere,Primavera Maquinas,-52.1950823,-12.41907006
ROO,Stara,Pr -Campo,-54.64823063,-16.50040587
RVD,Stara,Querencia Maquinas,-50.93788659,-17.75584009
CAIAPONIA,John Deere,Real Maquinas,-51.53555553,-17.33881906
MINEIROS,John Deere,Real Maquinas,-52.53478888,-17.46183448
ALTO TAQUARI,John Deere,Real Maquinas,-53.27406436,-17.79195359
AGUA BOA,Massey Ferguson,Revemar,-52.15272851,-14.06453986
CANARANA,Massey Ferguson,Revemar,-51.93161161,-13.58726291
CHS,Stara,Rio Sul,-52.64053518,-18.77499348
RVD,Jumil,Rivema,-50.92289676,-17.77932143
RVD,Massey Ferguson,Somafertil,-50.91084099,-17.78549602
PVA,Stara,Terra M quinas,-54.2973675,-15.56311227
ROO,New Holland,Terra Premium,-54.65887114,-16.46324706
MARACAJU,Massey Ferguson,Tratornan,-55.16959191,-21.63922132
RVD,Fendt,Vamos,-50.96860773,-17.83111576
PVA,Fendt,Vamos,-54.33371,-15.54235
CHS,Fendt,Vamos,-52.60550,-18.79956
PVA,Valtra,Vamos,-54.30847133,-15.56092468
CHC,Valtra,Vamos,-52.63882277,-18.33262853
JTI,Valtra,Vamos,-51.67634539,-17.80968267
ROO,Valtra,Vamos,-54.65940917,-16.46252976
RVD,Valtra,Vamos,-50.97209076,-17.70474892
VARZEA GRANDE,New Holland,Vergrande,-56.09868433,-15.68444996
JTI,Massey Ferguson,Volmaq,-51.72710616,-17.90053803
ALTO TAQUARI,Massey Ferguson,VOLMAQ,-53.24816392,-17.79082151
MINEIROS,Massey Ferguson,VOLMAQ,-52.48051104,-17.47177543
AGUA BOA,New Holland,Xingu,-52.15611749,-14.05541572
CANARANA,New Holland,Xingu,-52.30204866,-13.54333229
QUERENCIA,New Holland,Xingu,-52.21821068,-12.41553632
